identity_client,weight,age,profile_gender,profile_GOR,voted_ge_2024,pastvote_ge_2024,pastvote_EURef,profile_education_level,profile_education_level_recode,profile_work_stat,political_attention,split,xconsent,randMOSTLEAST,mostlikely,leastlikely,MLthermo,MLthermo_KB,MLthermo_KS,MLthermo_NF,MLthermo_ED,MLthermo_CD,MLthermo_AR,LLthermo,LLthermo_KB,LLthermo_KS,LLthermo_NF,LLthermo_ED,LLthermo_CD,LLthermo_AR,agreedisagree,xtrust,child
72,0.79,51,Male,London,"Yes, voted",Labour,I voted to Remain,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,2,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
73,0.76,78,Female,Wales,"Yes, voted",Conservative,Can’t remember,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Not working,5,2,I consent to taking part in this study,6,Reform UK,Labour Party,1,Not Asked,Not Asked,80,Not Asked,Not Asked,Not Asked,1,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
74,0.91,64,Female,East of England,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Not working,6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
75,1.03,65,Female,West Midlands,"Yes, voted",Conservative,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,5,4,I consent to taking part in this study,2,Conservative Party,Green Party,1,74,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Once in a while,Somewhat upset
76,0.64,49,Female,West Midlands,"Yes, voted",Conservative,I voted to Leave,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),6,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
77,0.9,69,Male,West Midlands,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,8,3,I consent to taking part in this study,5,Reform UK,Labour Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
78,0.54,68,Male,Wales,"Yes, voted",Plaid Cymru,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),8,1,I consent to taking part in this study,5,None of these,Reform UK,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
79,1,80,Female,London,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,6,2,I consent to taking part in this study,3,Conservative Party,Green Party,1,40,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Once in a while,Neither happy nor upset
80,0.58,66,Female,North West,"Yes, voted",Labour,Can’t remember,CSE grades 2-5,Low,Retired,9,2,I consent to taking part in this study,4,Labour Party,Reform UK,1,Not Asked,51,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,6,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
81,0.67,67,Female,South West,"Yes, voted",Conservative,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,4,1,I consent to taking part in this study,5,Conservative Party,Labour Party,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,8,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
82,0.72,43,Female,West Midlands,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,4,Conservative Party,Labour Party,1,25,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
83,0.56,41,Female,North West,"Yes, voted",Labour,I voted to Leave,GCE A level or Higher Certificate,Medium,Working full time (30 or more hours per week),7,3,I consent to taking part in this study,6,Labour Party,Conservative Party,1,Not Asked,89,Not Asked,Not Asked,Not Asked,Not Asked,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
84,2.07,59,Male,Yorkshire and the Humber,"Yes, voted",Liberal Democrat,I did not vote,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),2,1,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,80,Not Asked,Not Asked,1,Not Asked,Not Asked,9,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
85,3.09,44,Female,Yorkshire and the Humber,"Yes, voted",Don't know,I voted to Leave,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),2,3,I consent to taking part in this study,4,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
86,0.64,75,Male,West Midlands,"No, did not vote",,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,7,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
87,0.84,35,Female,London,"No, did not vote",,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),6,1,I consent to taking part in this study,3,Green Party,Conservative Party,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,13,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Don't know
88,0.93,74,Male,East Midlands,"No, did not vote",,I voted to Leave,"Other technical, professional or higher qualification",Medium,Retired,5,3,I consent to taking part in this study,1,Conservative Party,Green Party,1,997,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Almost never,Somewhat upset
89,0.52,76,Male,North West,"Yes, voted",Reform UK,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,9,3,I consent to taking part in this study,4,Reform UK,Green Party,1,Not Asked,Not Asked,87,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Once in a while,Neither happy nor upset
90,0.7,75,Male,East of England,"Yes, voted",Reform UK,I voted to Leave,Teaching qualification (not degree),Medium,Retired,7,1,I consent to taking part in this study,6,Reform UK,Labour Party,1,Not Asked,Not Asked,90,Not Asked,Not Asked,Not Asked,1,Not Asked,30,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
91,0.7,77,Male,South West,"Yes, voted",Conservative,I voted to Remain,"Other technical, professional or higher qualification",Medium,Retired,7,1,I consent to taking part in this study,2,Conservative Party,Labour Party,1,74,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,25,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Neither happy nor upset
92,0.76,53,Male,East of England,"Yes, voted",Conservative,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),5,2,I consent to taking part in this study,3,Reform UK,Green Party,1,Not Asked,Not Asked,90,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Strongly disagree,Almost never,Neither happy nor upset
93,0.77,77,Female,North West,"Yes, voted",Conservative,I voted to Leave,Clerical and commercial,Low,Retired,9,1,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,90,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
94,0.95,67,Female,London,"Yes, voted",Green,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working part time (Less than 8 hours a week),5,3,I consent to taking part in this study,3,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
95,0.72,52,Male,East of England,"Yes, voted",Liberal Democrat,I did not vote,"Other technical, professional or higher qualification",Medium,Working full time (30 or more hours per week),7,1,I consent to taking part in this study,1,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,95,Not Asked,Not Asked,1,Not Asked,Not Asked,8,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
96,0.75,51,Male,North West,"No, did not vote",,I voted to Leave,No formal qualifications,Low,Unemployed,7,2,I consent to taking part in this study,2,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,71,Not Asked,Not Asked,1,Not Asked,Not Asked,10,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
97,0.77,61,Female,South East,"Yes, voted",Liberal Democrat,I voted to Leave,GCE A level or Higher Certificate,Medium,Working part time (8-29 hours a week),5,2,I consent to taking part in this study,5,Conservative Party,Green Party,1,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,Tend to disagree,Almost never,Neither happy nor upset
98,0.91,74,Female,London,"Yes, voted",Reform UK,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,10,4,I consent to taking part in this study,3,Reform UK,Labour Party,1,Not Asked,Not Asked,100,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Always,Somewhat upset
99,0.83,36,Male,Wales,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working full time (30 or more hours per week),10,4,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,91,Not Asked,Not Asked,1,Not Asked,Not Asked,19,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
100,2.99,50,Female,East Midlands,"Yes, voted",Conservative,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working part time (8-29 hours a week),2,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
101,0.5,50,Male,East of England,"Yes, voted",Labour,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working full time (30 or more hours per week),8,2,I consent to taking part in this study,5,Labour Party,Conservative Party,1,Not Asked,75,Not Asked,Not Asked,Not Asked,Not Asked,1,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Neither happy nor upset
102,0.75,72,Female,Scotland,"Yes, voted",Labour,I voted to Leave,No formal qualifications,Low,Retired,5,1,I consent to taking part in this study,6,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,25,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Don't know
103,0.77,67,Female,South East,"Yes, voted",Liberal Democrat,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),3,4,I consent to taking part in this study,5,Liberal Democrats,Reform UK,1,Not Asked,Not Asked,Not Asked,97,Not Asked,Not Asked,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Somewhat upset
104,0.6,38,Female,North East,"Yes, voted",Labour,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Working part time (8-29 hours a week),7,3,I consent to taking part in this study,3,Liberal Democrats,Conservative Party,1,Not Asked,Not Asked,Not Asked,48,Not Asked,Not Asked,1,49,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
105,0.9,45,Female,Scotland,"Yes, voted",Labour,I voted to Leave,University diploma,Medium,Working part time (8-29 hours a week),5,3,I consent to taking part in this study,4,Green Party,Reform UK,1,Not Asked,Not Asked,Not Asked,Not Asked,997,997,1,Not Asked,Not Asked,0,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
106,0.81,72,Male,North West,"Yes, voted",Conservative,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,8,1,I consent to taking part in this study,2,Conservative Party,Liberal Democrats,1,24,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,16,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
107,0.77,51,Male,East Midlands,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Not working,7,2,I consent to taking part in this study,3,None of these,Labour Party,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
108,0.63,73,Female,North East,"Yes, voted",Liberal Democrat,I voted to Remain,GCE A level or Higher Certificate,Medium,Retired,6,1,I consent to taking part in this study,5,Liberal Democrats,Labour Party,1,Not Asked,Not Asked,Not Asked,997,Not Asked,Not Asked,1,Not Asked,32,Not Asked,Not Asked,Not Asked,Not Asked,Tend to disagree,Once in a while,Neither happy nor upset
109,0.71,64,Male,North West,"Yes, voted",Green,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Retired,7,1,I consent to taking part in this study,6,Labour Party,Reform UK,1,Not Asked,60,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,10,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
110,2.96,65,Female,Yorkshire and the Humber,"No, did not vote",,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Not working,2,1,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,75,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
111,1.18,49,Male,London,"Yes, voted",Labour,I voted to Remain,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),7,4,I consent to taking part in this study,1,Labour Party,Reform UK,1,Not Asked,55,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,1,Not Asked,Not Asked,Not Asked,Tend to disagree,Almost never,Somewhat upset
112,0.84,72,Male,Yorkshire and the Humber,"Yes, voted",Green,I voted to Remain,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",High,Retired,6,1,I consent to taking part in this study,2,Labour Party,Reform UK,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,Not Asked,10,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
113,0.7,68,Female,East of England,"Yes, voted",Conservative,I voted to Leave,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Working part time (8-29 hours a week),7,1,I consent to taking part in this study,2,Reform UK,Labour Party,1,Not Asked,Not Asked,66,Not Asked,Not Asked,Not Asked,1,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Neither agree nor disagree,Once in a while,Neither happy nor upset
114,0.55,73,Male,East of England,"Yes, voted",Labour,I voted to Remain,GCE A level or Higher Certificate,Medium,Retired,8,Not Asked,I do not wish to continue with this study,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked
115,0.74,65,Male,East of England,"Yes, voted",Reform UK,I voted to Leave,"Other technical, professional or higher qualification",Medium,Retired,4,4,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,99,Not Asked,Not Asked,Not Asked,1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Extremely upset
116,0.69,71,Female,Yorkshire and the Humber,"Yes, voted",Don't know,I voted to Leave,GCE A level or Higher Certificate,Medium,Retired,7,2,I consent to taking part in this study,4,Reform UK,Labour Party,1,Not Asked,Not Asked,40,Not Asked,Not Asked,Not Asked,1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Once in a while,Neither happy nor upset
117,0.76,64,Female,Wales,"Yes, voted",Conservative,I voted to Remain,"CSE grade 1, GCE O level, GCSE, School Certificate",Low,Retired,7,2,I consent to taking part in this study,1,Reform UK,Labour Party,1,Not Asked,Not Asked,66,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
118,1.02,51,Female,London,"Yes, voted",Conservative,I voted to Leave,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",High,Working full time (30 or more hours per week),10,1,I consent to taking part in this study,6,Conservative Party,Labour Party,1,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Strongly disagree,Almost never,Neither happy nor upset
